carrier,product,state,age,sex,smoker,term_years,face_band_min,face_band_max,health_class,monthly_premium,face_amount,source_file,source_date,integrity_carrier,integrity_product,nearest_age,product_type,underwriting_mode,rank_in_quote,is_best,is_mvi_appointed,marketplace_policy_count,harvest_batch_id
lincoln,termaccel_2019,NE,20,male,0,10,250000,250000,preferred_plus_nt,10.15,250000,integrity-term-harvest.json,2026-08-26,Lincoln National Life Insurance Company,TermAccel 2019,21,fully_underwritten_term,fully_underwritten,9,0,0,30,2026-08-26
principal,term_convertible,NE,20,male,0,10,250000,250000,preferred_plus_nt,10.32,250000,integrity-term-harvest.json,2026-08-26,Principal National Life Insurance Company,Term - Convertible,21,fully_underwritten_term,fully_underwritten,10,0,0,30,2026-08-26
minnesota_life,advantage_elite_select_with_eca,NE,20,male,0,10,250000,250000,preferred_plus_nt,10.42,250000,integrity-term-harvest.json,2026-08-26,Minnesota Life,Advantage Elite Select with ECA,21,fully_underwritten_term,fully_underwritten,11,0,0,30,2026-08-26
protective,protective_classic_choice_term_with_cer,NE,20,male,0,10,250000,250000,preferred_plus_nt,10.61,250000,integrity-term-harvest.json,2026-08-26,Protective Life,Protective Classic Choice Term with CER,21,fully_underwritten_term,fully_underwritten,12,0,0,30,2026-08-26
principal,term_convertible_with_conversion_extension_rider,NE,20,male,0,10,250000,250000,preferred_plus_nt,10.83,250000,integrity-term-harvest.json,2026-08-26,Principal National Life Insurance Company,Term - Convertible with Conversion Extension Rider,21,fully_underwritten_term,fully_underwritten,13,0,0,30,2026-08-26
minnesota_life,advantage_elite_select_with_cica,NE,20,male,0,10,250000,250000,preferred_plus_nt,11.02,250000,integrity-term-harvest.json,2026-08-26,Minnesota Life,Advantage Elite Select with CICA,21,fully_underwritten_term,fully_underwritten,14,0,0,30,2026-08-26
symetra,swiftterm_with_conversion_enhancement_rider,NE,20,male,0,10,250000,250000,preferred_plus_nt,11.07,250000,integrity-term-harvest.json,2026-08-26,Symetra Life Insurance Company,SwiftTerm with Conversion Enhancement Rider,21,fully_underwritten_term,fully_underwritten,15,0,0,30,2026-08-26
corebridge,qol_flex_term_simplinow_choice,NE,20,male,0,10,250000,250000,preferred_plus_nt,11.15,250000,integrity-term-harvest.json,2026-08-26,Corebridge Financial (American General - all states except NY),QoL Flex Term (SimpliNow Choice),21,fully_underwritten_term,fully_underwritten,16,0,1,30,2026-08-26
corebridge,qol_flex_term,NE,20,male,0,10,250000,250000,preferred_plus_nt,11.15,250000,integrity-term-harvest.json,2026-08-26,Corebridge Financial (American General - all states except NY),QoL Flex Term,21,fully_underwritten_term,fully_underwritten,17,0,1,30,2026-08-26
north_american,addvantage_term_gen_9,NE,20,male,0,10,250000,250000,preferred_plus_nt,11.22,250000,integrity-term-harvest.json,2026-08-26,North American Company for Life and Health Insurance,ADDvantage Term Gen 9,21,fully_underwritten_term,fully_underwritten,18,0,0,30,2026-08-26
moo,term_life_answers_brokerage,NE,20,male,0,10,250000,250000,preferred_plus_nt,12.04,250000,integrity-term-harvest.json,2026-08-26,United of Omaha,Term Life Answers - Brokerage,21,fully_underwritten_term,fully_underwritten,19,0,1,30,2026-08-26
prudential,essential_term_value,NE,20,male,0,10,250000,250000,preferred_plus_nt,13.13,250000,integrity-term-harvest.json,2026-08-26,Prudential Financial,Essential Term Value,21,fully_underwritten_term,fully_underwritten,20,0,0,30,2026-08-26
transamerica,trendsetter_super,NE,20,male,0,10,250000,250000,preferred_plus_nt,13.6,250000,integrity-term-harvest.json,2026-08-26,Transamerica Life Insurance Co.,Trendsetter Super,21,fully_underwritten_term,fully_underwritten,21,0,1,30,2026-08-26
lincoln,lincoln_lifeelements_level_term_2019_eticket_lincxpress,NE,20,male,0,10,250000,250000,preferred_plus_nt,13.74,250000,integrity-term-harvest.json,2026-08-26,Lincoln National Life Insurance Company,Lincoln LifeElements Level Term 2019 (eTicket-LincXpress),21,fully_underwritten_term,fully_underwritten,22,0,0,30,2026-08-26
lincoln,lincoln_lifeelements_level_term_2019_eapp_full_application,NE,20,male,0,10,250000,250000,preferred_plus_nt,13.74,250000,integrity-term-harvest.json,2026-08-26,Lincoln National Life Insurance Company,Lincoln LifeElements Level Term 2019 (eApp-Full Application),21,fully_underwritten_term,fully_underwritten,23,0,0,30,2026-08-26
prudential,essential_term_plus,NE,20,male,0,10,250000,250000,preferred_plus_nt,13.78,250000,integrity-term-harvest.json,2026-08-26,Prudential Financial,Essential Term Plus,21,fully_underwritten_term,fully_underwritten,24,0,0,30,2026-08-26
national_life_group,lsw_10_g,NE,20,male,0,10,250000,250000,preferred_plus_nt,16.06,250000,integrity-term-harvest.json,2026-08-26,National Life Group,LSW 10-G,21,fully_underwritten_term,fully_underwritten,25,0,0,30,2026-08-26
john_hancock,protection_term,NE,20,male,0,10,250000,250000,preferred_plus_nt,16.91,250000,integrity-term-harvest.json,2026-08-26,John Hancock,Protection Term,21,fully_underwritten_term,fully_underwritten,26,0,0,30,2026-08-26
transamerica,trendsetter_lb,NE,20,male,0,10,250000,250000,preferred_plus_nt,17.85,250000,integrity-term-harvest.json,2026-08-26,Transamerica Life Insurance Co.,Trendsetter LB,21,fully_underwritten_term,fully_underwritten,27,0,1,30,2026-08-26
john_hancock,vitality_term,NE,20,male,0,10,250000,250000,preferred_plus_nt,18.42,250000,integrity-term-harvest.json,2026-08-26,John Hancock,Vitality Term,21,fully_underwritten_term,fully_underwritten,28,0,0,30,2026-08-26
nationwide,nationwide_intelligent_underwriting_guaranteed_level_term_br,NE,20,male,0,10,250000,250000,preferred_plus_nt,21.88,250000,integrity-term-harvest.json,2026-08-26,Nationwide,Nationwide (Intelligent Underwriting) Guaranteed Level Term - Brokerage,21,fully_underwritten_term,fully_underwritten,29,0,0,30,2026-08-26
nationwide,nationwide_guaranteed_level_term_brokerage,NE,20,male,0,10,250000,250000,preferred_plus_nt,21.88,250000,integrity-term-harvest.json,2026-08-26,Nationwide,Nationwide Guaranteed Level Term - Brokerage,21,fully_underwritten_term,fully_underwritten,30,0,0,30,2026-08-26
corebridge,select_a_term_simplinow_choice,NE,20,male,0,10,500000,500000,preferred_plus_nt,12.67,500000,integrity-term-harvest.json,2026-08-26,Corebridge Financial (American General - all states except NY),Select-a-Term (SimpliNow Choice),21,fully_underwritten_term,fully_underwritten,1,1,1,30,2026-08-26
corebridge,select_a_term,NE,20,male,0,10,500000,500000,preferred_plus_nt,12.67,500000,integrity-term-harvest.json,2026-08-26,Corebridge Financial (American General - all states except NY),Select-a-Term,21,fully_underwritten_term,fully_underwritten,2,0,1,30,2026-08-26
symetra,swiftterm_instant_issue_available,NE,20,male,0,10,500000,500000,preferred_plus_nt,12.74,500000,integrity-term-harvest.json,2026-08-26,Symetra Life Insurance Company,SwiftTerm Instant Issue Available,21,fully_underwritten_term,fully_underwritten,3,0,0,30,2026-08-26
pacific_life,promise_term,NE,20,male,0,10,500000,500000,preferred_plus_nt,12.75,500000,integrity-term-harvest.json,2026-08-26,Pacific Life Insurance Company - Lynchburg,Promise Term,21,fully_underwritten_term,fully_underwritten,4,0,0,30,2026-08-26
lincoln,termaccel_2019,NE,20,male,0,10,500000,500000,preferred_plus_nt,13.31,500000,integrity-term-harvest.json,2026-08-26,Lincoln National Life Insurance Company,TermAccel 2019,21,fully_underwritten_term,fully_underwritten,5,0,0,30,2026-08-26
principal,term_non_convertible,NE,20,male,0,10,500000,500000,preferred_plus_nt,13.55,500000,integrity-term-harvest.json,2026-08-26,Principal National Life Insurance Company,Term - Non Convertible,21,fully_underwritten_term,fully_underwritten,6,0,0,30,2026-08-26
banner,opterm,NE,20,male,0,10,500000,500000,preferred_plus_nt,13.57,500000,integrity-term-harvest.json,2026-08-26,Banner Life,OPTerm,21,fully_underwritten_term,fully_underwritten,7,0,0,30,2026-08-26
protective,protective_classic_choice_term,NE,20,male,0,10,500000,500000,preferred_plus_nt,13.58,500000,integrity-term-harvest.json,2026-08-26,Protective Life,Protective Classic Choice Term,21,fully_underwritten_term,fully_underwritten,8,0,0,30,2026-08-26
minnesota_life,advantage_elite_select_term,NE,20,male,0,10,500000,500000,preferred_plus_nt,13.64,500000,integrity-term-harvest.json,2026-08-26,Minnesota Life,Advantage Elite Select Term,21,fully_underwritten_term,fully_underwritten,9,0,0,30,2026-08-26
minnesota_life,advantage_elite_select_with_eca,NE,20,male,0,10,500000,500000,preferred_plus_nt,14.05,500000,integrity-term-harvest.json,2026-08-26,Minnesota Life,Advantage Elite Select with ECA,21,fully_underwritten_term,fully_underwritten,10,0,0,30,2026-08-26
principal,term_convertible,NE,20,male,0,10,500000,500000,preferred_plus_nt,14.19,500000,integrity-term-harvest.json,2026-08-26,Principal National Life Insurance Company,Term - Convertible,21,fully_underwritten_term,fully_underwritten,11,0,0,30,2026-08-26
corebridge,qol_flex_term_simplinow_choice,NE,20,male,0,10,500000,500000,preferred_plus_nt,14.47,500000,integrity-term-harvest.json,2026-08-26,Corebridge Financial (American General - all states except NY),QoL Flex Term (SimpliNow Choice),21,fully_underwritten_term,fully_underwritten,12,0,1,30,2026-08-26
corebridge,qol_flex_term,NE,20,male,0,10,500000,500000,preferred_plus_nt,14.47,500000,integrity-term-harvest.json,2026-08-26,Corebridge Financial (American General - all states except NY),QoL Flex Term,21,fully_underwritten_term,fully_underwritten,13,0,1,30,2026-08-26
symetra,swiftterm_with_conversion_enhancement_rider,NE,20,male,0,10,500000,500000,preferred_plus_nt,15.08,500000,integrity-term-harvest.json,2026-08-26,Symetra Life Insurance Company,SwiftTerm with Conversion Enhancement Rider,21,fully_underwritten_term,fully_underwritten,14,0,0,30,2026-08-26
principal,term_convertible_with_conversion_extension_rider,NE,20,male,0,10,500000,500000,preferred_plus_nt,15.22,500000,integrity-term-harvest.json,2026-08-26,Principal National Life Insurance Company,Term - Convertible with Conversion Extension Rider,21,fully_underwritten_term,fully_underwritten,15,0,0,30,2026-08-26
minnesota_life,advantage_elite_select_with_cica,NE,20,male,0,10,500000,500000,preferred_plus_nt,15.24,500000,integrity-term-harvest.json,2026-08-26,Minnesota Life,Advantage Elite Select with CICA,21,fully_underwritten_term,fully_underwritten,16,0,0,30,2026-08-26
protective,protective_classic_choice_term_with_cer,NE,20,male,0,10,500000,500000,preferred_plus_nt,15.28,500000,integrity-term-harvest.json,2026-08-26,Protective Life,Protective Classic Choice Term with CER,21,fully_underwritten_term,fully_underwritten,17,0,0,30,2026-08-26
north_american,addvantage_term_gen_9,NE,20,male,0,10,500000,500000,preferred_plus_nt,15.4,500000,integrity-term-harvest.json,2026-08-26,North American Company for Life and Health Insurance,ADDvantage Term Gen 9,21,fully_underwritten_term,fully_underwritten,18,0,0,30,2026-08-26
moo,term_life_answers_brokerage,NE,20,male,0,10,500000,500000,preferred_plus_nt,16.13,500000,integrity-term-harvest.json,2026-08-26,United of Omaha,Term Life Answers - Brokerage,21,fully_underwritten_term,fully_underwritten,19,0,1,30,2026-08-26
prudential,essential_term_value,NE,20,male,0,10,500000,500000,preferred_plus_nt,18.82,500000,integrity-term-harvest.json,2026-08-26,Prudential Financial,Essential Term Value,21,fully_underwritten_term,fully_underwritten,20,0,0,30,2026-08-26
transamerica,trendsetter_super,NE,20,male,0,10,500000,500000,preferred_plus_nt,19.55,500000,integrity-term-harvest.json,2026-08-26,Transamerica Life Insurance Co.,Trendsetter Super,21,fully_underwritten_term,fully_underwritten,21,0,1,30,2026-08-26
lincoln,lincoln_lifeelements_level_term_2019_eapp_full_application,NE,20,male,0,10,500000,500000,preferred_plus_nt,19.75,500000,integrity-term-harvest.json,2026-08-26,Lincoln National Life Insurance Company,Lincoln LifeElements Level Term 2019 (eApp-Full Application),21,fully_underwritten_term,fully_underwritten,22,0,0,30,2026-08-26
lincoln,lincoln_lifeelements_level_term_2019_eticket_lincxpress,NE,20,male,0,10,500000,500000,preferred_plus_nt,19.75,500000,integrity-term-harvest.json,2026-08-26,Lincoln National Life Insurance Company,Lincoln LifeElements Level Term 2019 (eTicket-LincXpress),21,fully_underwritten_term,fully_underwritten,23,0,0,30,2026-08-26
prudential,essential_term_plus,NE,20,male,0,10,500000,500000,preferred_plus_nt,20.13,500000,integrity-term-harvest.json,2026-08-26,Prudential Financial,Essential Term Plus,21,fully_underwritten_term,fully_underwritten,24,0,0,30,2026-08-26
john_hancock,protection_term,NE,20,male,0,10,500000,500000,preferred_plus_nt,24.46,500000,integrity-term-harvest.json,2026-08-26,John Hancock,Protection Term,21,fully_underwritten_term,fully_underwritten,25,0,0,30,2026-08-26
john_hancock,vitality_term,NE,20,male,0,10,500000,500000,preferred_plus_nt,25.52,500000,integrity-term-harvest.json,2026-08-26,John Hancock,Vitality Term,21,fully_underwritten_term,fully_underwritten,26,0,0,30,2026-08-26
national_life_group,lsw_10_g,NE,20,male,0,10,500000,500000,preferred_plus_nt,25.52,500000,integrity-term-harvest.json,2026-08-26,National Life Group,LSW 10-G,21,fully_underwritten_term,fully_underwritten,27,0,0,30,2026-08-26
transamerica,trendsetter_lb,NE,20,male,0,10,500000,500000,preferred_plus_nt,25.8,500000,integrity-term-harvest.json,2026-08-26,Transamerica Life Insurance Co.,Trendsetter LB,21,fully_underwritten_term,fully_underwritten,28,0,1,30,2026-08-26
nationwide,nationwide_intelligent_underwriting_guaranteed_level_term_br,NE,20,male,0,10,500000,500000,preferred_plus_nt,31.94,500000,integrity-term-harvest.json,2026-08-26,Nationwide,Nationwide (Intelligent Underwriting) Guaranteed Level Term - Brokerage,21,fully_underwritten_term,fully_underwritten,29,0,0,30,2026-08-26
nationwide,nationwide_guaranteed_level_term_brokerage,NE,20,male,0,10,500000,500000,preferred_plus_nt,31.94,500000,integrity-term-harvest.json,2026-08-26,Nationwide,Nationwide Guaranteed Level Term - Brokerage,21,fully_underwritten_term,fully_underwritten,30,0,0,30,2026-08-26
symetra,swiftterm_instant_issue_available,NE,20,male,0,10,750000,750000,preferred_plus_nt,15.88,750000,integrity-term-harvest.json,2026-08-26,Symetra Life Insurance Company,SwiftTerm Instant Issue Available,21,fully_underwritten_term,fully_underwritten,1,1,0,30,2026-08-26
lincoln,termaccel_2019,NE,20,male,0,10,750000,750000,preferred_plus_nt,16.09,750000,integrity-term-harvest.json,2026-08-26,Lincoln National Life Insurance Company,TermAccel 2019,21,fully_underwritten_term,fully_underwritten,2,0,0,30,2026-08-26
corebridge,select_a_term,NE,20,male,0,10,750000,750000,preferred_plus_nt,16.3,750000,integrity-term-harvest.json,2026-08-26,Corebridge Financial (American General - all states except NY),Select-a-Term,21,fully_underwritten_term,fully_underwritten,3,0,1,30,2026-08-26
corebridge,select_a_term_simplinow_choice,NE,20,male,0,10,750000,750000,preferred_plus_nt,16.3,750000,integrity-term-harvest.json,2026-08-26,Corebridge Financial (American General - all states except NY),Select-a-Term (SimpliNow Choice),21,fully_underwritten_term,fully_underwritten,4,0,1,30,2026-08-26
pacific_life,promise_term,NE,20,male,0,10,750000,750000,preferred_plus_nt,16.57,750000,integrity-term-harvest.json,2026-08-26,Pacific Life Insurance Company - Lynchburg,Promise Term,21,fully_underwritten_term,fully_underwritten,5,0,0,30,2026-08-26
principal,term_non_convertible,NE,20,male,0,10,750000,750000,preferred_plus_nt,17.09,750000,integrity-term-harvest.json,2026-08-26,Principal National Life Insurance Company,Term - Non Convertible,21,fully_underwritten_term,fully_underwritten,6,0,0,30,2026-08-26
minnesota_life,advantage_elite_select_term,NE,20,male,0,10,750000,750000,preferred_plus_nt,17.16,750000,integrity-term-harvest.json,2026-08-26,Minnesota Life,Advantage Elite Select Term,21,fully_underwritten_term,fully_underwritten,7,0,0,30,2026-08-26
protective,protective_classic_choice_term,NE,20,male,0,10,750000,750000,preferred_plus_nt,17.61,750000,integrity-term-harvest.json,2026-08-26,Protective Life,Protective Classic Choice Term,21,fully_underwritten_term,fully_underwritten,8,0,0,30,2026-08-26
minnesota_life,advantage_elite_select_with_eca,NE,20,male,0,10,750000,750000,preferred_plus_nt,17.67,750000,integrity-term-harvest.json,2026-08-26,Minnesota Life,Advantage Elite Select with ECA,21,fully_underwritten_term,fully_underwritten,9,0,0,30,2026-08-26
principal,term_convertible,NE,20,male,0,10,750000,750000,preferred_plus_nt,18.06,750000,integrity-term-harvest.json,2026-08-26,Principal National Life Insurance Company,Term - Convertible,21,fully_underwritten_term,fully_underwritten,10,0,0,30,2026-08-26
corebridge,qol_flex_term,NE,20,male,0,10,750000,750000,preferred_plus_nt,18.54,750000,integrity-term-harvest.json,2026-08-26,Corebridge Financial (American General - all states except NY),QoL Flex Term,21,fully_underwritten_term,fully_underwritten,11,0,1,30,2026-08-26
corebridge,qol_flex_term_simplinow_choice,NE,20,male,0,10,750000,750000,preferred_plus_nt,18.54,750000,integrity-term-harvest.json,2026-08-26,Corebridge Financial (American General - all states except NY),QoL Flex Term (SimpliNow Choice),21,fully_underwritten_term,fully_underwritten,12,0,1,30,2026-08-26
symetra,swiftterm_with_conversion_enhancement_rider,NE,20,male,0,10,750000,750000,preferred_plus_nt,19.1,750000,integrity-term-harvest.json,2026-08-26,Symetra Life Insurance Company,SwiftTerm with Conversion Enhancement Rider,21,fully_underwritten_term,fully_underwritten,13,0,0,30,2026-08-26
minnesota_life,advantage_elite_select_with_cica,NE,20,male,0,10,750000,750000,preferred_plus_nt,19.46,750000,integrity-term-harvest.json,2026-08-26,Minnesota Life,Advantage Elite Select with CICA,21,fully_underwritten_term,fully_underwritten,14,0,0,30,2026-08-26
banner,opterm,NE,20,male,0,10,750000,750000,preferred_plus_nt,19.55,750000,integrity-term-harvest.json,2026-08-26,Banner Life,OPTerm,21,fully_underwritten_term,fully_underwritten,15,0,0,30,2026-08-26
principal,term_convertible_with_conversion_extension_rider,NE,20,male,0,10,750000,750000,preferred_plus_nt,19.6,750000,integrity-term-harvest.json,2026-08-26,Principal National Life Insurance Company,Term - Convertible with Conversion Extension Rider,21,fully_underwritten_term,fully_underwritten,16,0,0,30,2026-08-26
protective,protective_classic_choice_term_with_cer,NE,20,male,0,10,750000,750000,preferred_plus_nt,20.16,750000,integrity-term-harvest.json,2026-08-26,Protective Life,Protective Classic Choice Term with CER,21,fully_underwritten_term,fully_underwritten,17,0,0,30,2026-08-26
north_american,addvantage_term_gen_9,NE,20,male,0,10,750000,750000,preferred_plus_nt,20.24,750000,integrity-term-harvest.json,2026-08-26,North American Company for Life and Health Insurance,ADDvantage Term Gen 9,21,fully_underwritten_term,fully_underwritten,18,0,0,30,2026-08-26
moo,term_life_answers_brokerage,NE,20,male,0,10,750000,750000,preferred_plus_nt,21.5,750000,integrity-term-harvest.json,2026-08-26,United of Omaha,Term Life Answers - Brokerage,21,fully_underwritten_term,fully_underwritten,19,0,1,30,2026-08-26
prudential,essential_term_value,NE,20,male,0,10,750000,750000,preferred_plus_nt,24.5,750000,integrity-term-harvest.json,2026-08-26,Prudential Financial,Essential Term Value,21,fully_underwritten_term,fully_underwritten,20,0,0,30,2026-08-26
lincoln,lincoln_lifeelements_level_term_2019_eapp_full_application,NE,20,male,0,10,750000,750000,preferred_plus_nt,25.75,750000,integrity-term-harvest.json,2026-08-26,Lincoln National Life Insurance Company,Lincoln LifeElements Level Term 2019 (eApp-Full Application),21,fully_underwritten_term,fully_underwritten,21,0,0,30,2026-08-26
lincoln,lincoln_lifeelements_level_term_2019_eticket_lincxpress,NE,20,male,0,10,750000,750000,preferred_plus_nt,25.75,750000,integrity-term-harvest.json,2026-08-26,Lincoln National Life Insurance Company,Lincoln LifeElements Level Term 2019 (eTicket-LincXpress),21,fully_underwritten_term,fully_underwritten,22,0,0,30,2026-08-26
prudential,essential_term_plus,NE,20,male,0,10,750000,750000,preferred_plus_nt,26.47,750000,integrity-term-harvest.json,2026-08-26,Prudential Financial,Essential Term Plus,21,fully_underwritten_term,fully_underwritten,23,0,0,30,2026-08-26
transamerica,trendsetter_super,NE,20,male,0,10,750000,750000,preferred_plus_nt,28.05,750000,integrity-term-harvest.json,2026-08-26,Transamerica Life Insurance Co.,Trendsetter Super,21,fully_underwritten_term,fully_underwritten,24,0,1,30,2026-08-26
john_hancock,protection_term,NE,20,male,0,10,750000,750000,preferred_plus_nt,33.66,750000,integrity-term-harvest.json,2026-08-26,John Hancock,Protection Term,21,fully_underwritten_term,fully_underwritten,25,0,0,30,2026-08-26
john_hancock,vitality_term,NE,20,male,0,10,750000,750000,preferred_plus_nt,34.17,750000,integrity-term-harvest.json,2026-08-26,John Hancock,Vitality Term,21,fully_underwritten_term,fully_underwritten,26,0,0,30,2026-08-26
